dataset,model,scoring,recall@1,recall@5,recall@10,mrr@10,ndcg@10,cand_recall_ceiling@topk,latency_per_q_ms,vram_mb,n_queries,topk
scifact,BM25,bm25,0.5075,0.7267777777777776,0.7756666666666666,0.6183650793650796,0.652284944994416,0.8730555555555555,,,300,100
scifact,Mamba-130m-cls,cls_head,0.01,0.044,0.08733333333333333,0.0260489417989418,0.03973969678381873,0.8730555555555555,352.2208881378174,828.92236328125,300,100
scifact,Pythia-160m-cls,cls_head,0.0,0.03,0.09,0.016297619047619043,0.03275968709240018,0.8730555555555555,195.9718108177185,1425.38330078125,300,100
scifact,CrossEncoder-MiniLM-L6,cross_encoder,0.5486111111111112,0.7267222222222222,0.7939444444444443,0.6494960317460318,0.6765307383056898,0.8730555555555555,145.37859280904132,1771.5947265625,300,100
nfcorpus,BM25,bm25,0.056522755883463525,0.11504958852884171,0.15222522666353808,0.5084549609317409,0.3063519738744571,0.2348823036922215,,,323,100
nfcorpus,Mamba-130m-cls,cls_head,0.0016240659568467232,0.008561550240346784,0.021880735999309675,0.11683252248267732,0.06262841551686398,0.2348823036922215,359.49527368456955,828.92236328125,323,100
nfcorpus,Pythia-160m-cls,cls_head,0.004850768845317585,0.012391813942454054,0.022588516065433144,0.1335827313381493,0.06837754531828623,0.2348823036922215,200.3151713510047,1425.38330078125,323,100
nfcorpus,CrossEncoder-MiniLM-L6,cross_encoder,0.06621909530143379,0.13467288675766592,0.15675028504125568,0.5651346503513683,0.33941156550346113,0.2348823036922215,143.1626003962183,1771.5947265625,323,100
fiqa,BM25,bm25,0.09672685853241418,0.21496718302273848,0.2783987874265653,0.27133793846756793,0.2175091816978161,0.4752124889856369,,,648,100
fiqa,Mamba-130m-cls,cls_head,0.005195473251028807,0.041723618459729564,0.07435527007286269,0.04477696942974721,0.04070514315508359,0.4752124889856369,344.65839723010123,828.92236328125,648,100
fiqa,Pythia-160m-cls,cls_head,0.005872770919067216,0.0245119849286516,0.05527330180107956,0.0348122427983539,0.030836668616262653,0.4752124889856369,195.5870423052046,1425.38330078125,648,100
fiqa,CrossEncoder-MiniLM-L6,cross_encoder,0.15811599237525156,0.32943243741854883,0.38046809157920286,0.3978266460905348,0.3220060684893509,0.4752124889856369,134.57858599262474,1771.5947265625,648,100
