dataset,model,scoring,recall@1,recall@5,recall@10,mrr@10,ndcg@10,cand_recall@100,cond_recall@5,latency_per_q_ms,vram_mb,n_queries
scifact,BM25,bm25,0.4766666666666666,0.7016666666666665,0.7766666666666666,0.5965,0.6341328986871048,0.8933333333333334,0.7796296296296296,,,50
scifact,CrossEncoder-MiniLM-L6,cross_encoder,0.4016666666666667,0.7333333333333334,0.8233333333333335,0.5873571428571428,0.6347523150087537,0.8933333333333334,0.8148148148148149,147.24369049072266,1215.52880859375,50
scifact,Mamba-130m-cls(synthetic),cls_head,0.02,0.04,0.04,0.025,0.02861353116146786,0.8933333333333334,0.044444444444444446,339.85901832580566,531.7353515625,50
scifact,Mamba-130m-cls(finetuned),cls_head,0.34,0.5566666666666666,0.6266666666666666,0.45174603174603173,0.4880057553762521,0.8933333333333334,0.6185185185185185,341.05377197265625,786.35791015625,50
scifact,Pythia-160m-cls(synthetic),cls_head,0.0,0.06,0.15,0.029436507936507934,0.05680887585295841,0.8933333333333334,0.06666666666666667,198.19881916046143,1165.00439453125,50
scifact,Pythia-160m-cls(finetuned),cls_head,0.02,0.18,0.305,0.0906349206349206,0.13911893980717618,0.8933333333333334,0.2,196.74490451812744,1165.00439453125,50
nfcorpus,BM25,bm25,0.04717384800296135,0.09857159792608179,0.12437111637813476,0.5876904761904761,0.334691475104622,0.20322491503181528,0.1173471403881926,,,50
nfcorpus,CrossEncoder-MiniLM-L6,cross_encoder,0.04951449081411106,0.11010104652374103,0.12787391962000644,0.6546666666666667,0.36508663990804374,0.20322491503181528,0.13107267443302503,137.28954315185547,1216.15380859375,50
nfcorpus,Mamba-130m-cls(synthetic),cls_head,0.0010970873786407766,0.005809557875270701,0.023070849260859005,0.10046825396825396,0.0610838444614837,0.20322491503181528,0.006916140327703216,348.32563877105713,531.7353515625,50
nfcorpus,Mamba-130m-cls(finetuned),cls_head,0.0038448354516287062,0.03434629051298533,0.07102298562673776,0.2548888888888889,0.15299769342274985,0.20322491503181528,0.040888441086887294,355.09904384613037,786.35791015625,50
nfcorpus,Pythia-160m-cls(synthetic),cls_head,0.0018440528314885825,0.011728689638325004,0.013859188216484181,0.1541904761904762,0.0630793972612732,0.20322491503181528,0.01396272575991072,206.7033815383911,1682.12451171875,50
nfcorpus,Pythia-160m-cls(finetuned),cls_head,0.003160732067285465,0.018392930296872067,0.024052309949463443,0.20919047619047618,0.09697892491629094,0.20322491503181528,0.021896345591514366,204.4776439666748,1682.12451171875,50
