substage,run_id,recipe,split,step,n_pairs,phase_train_n_pairs,accuracy,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1,2,"1,2",0.0,6.650892734527588,0.125,2.0794415416798357,6.621658951497446,2e-06,0.050298452377319336,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,100,1,"1,2",1.0,0.019929513335227966,0.125,2.0794415416798357,0.125648961971191,0.0002,2.8456223011016846,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,200,2,"1,2",0.6015625,0.7099683284759521,0.125,2.0794415416798357,1.0495801494254222,0.0004,5.878026247024536,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,300,2,"1,2",0.53125,0.6766864061355591,0.125,2.0794415416798357,1.3442986975369478,0.0006,8.849799394607544,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,400,2,"1,2",0.5390625,0.6986146569252014,0.125,2.0794415416798357,1.3821840994979155,0.0008,12.109580039978027,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,500,1,"1,2",1.0,0.0015092509565874934,0.125,2.0794415416798357,0.011471308218540345,0.001,15.200924396514893,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,600,2,"1,2",0.5703125,0.6415401101112366,0.125,2.0794415416798357,0.860635158953718,0.001,18.369823694229126,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,700,1,"1,2",1.0,0.0010029309196397662,0.125,2.0794415416798357,0.00692326108725163,0.001,21.42773413658142,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,800,1,"1,2",1.0,0.002319140126928687,0.125,2.0794415416798357,0.023154289314625612,0.001,24.626977682113647,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,900,2,"1,2",0.57421875,0.6384447813034058,0.125,2.0794415416798357,0.9430315308908201,0.001,27.577287197113037,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1000,1,"1,2",1.0,0.0006559891626238823,0.125,2.0794415416798357,0.004311181549356718,0.001,30.459173440933228,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,1000,1,"1,2",1.0,0.0006729481410729932,0.125,2.0794415416798357,,0.001,37.225507497787476,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,1000,2,"1,2",0.55859375,0.6377983279526234,0.125,2.0794415416798357,,0.001,37.22551655769348,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,1000,4,"1,2",0.3316650390625,1.314123958349228,0.125,2.0794415416798357,,0.001,37.22552037239075,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,1000,8,"1,2",0.2125244140625,1.9304773956537247,0.125,2.0794415416798357,,0.001,37.225523471832275,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1100,1,"1,2",1.0,0.0007811065297573805,0.125,2.0794415416798357,0.005865555758917615,0.001,40.34295177459717,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1200,2,"1,2",0.6015625,0.6140182614326477,0.125,2.0794415416798357,0.7195916619383915,0.001,43.293182611465454,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1300,2,"1,2",0.6171875,0.6311333179473877,0.125,2.0794415416798357,0.6632805121678353,0.001,46.16131639480591,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1400,2,"1,2",0.578125,0.6101377010345459,0.125,2.0794415416798357,0.8269157404326773,0.001,48.97835445404053,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1500,2,"1,2",0.57421875,0.6381598711013794,0.125,2.0794415416798357,0.8128829247491474,0.001,51.92482948303223,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1600,1,"1,2",1.0,0.00035309637314639986,0.125,2.0794415416798357,0.0023428360147983427,0.001,54.679670572280884,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1700,1,"1,2",1.0,0.0005145753966644406,0.125,2.0794415416798357,0.0038286615887725695,0.001,57.58129334449768,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1800,2,"1,2",0.62890625,0.5990917682647705,0.125,2.0794415416798357,1.1563757183321275,0.001,60.590824842453,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,1900,2,"1,2",0.6796875,0.5624474287033081,0.125,2.0794415416798357,1.588804523190324,0.001,63.72484517097473,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2000,2,"1,2",0.75390625,0.4763527512550354,0.125,2.0794415416798357,1.61000742337851,0.001,66.94391679763794,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,2000,1,"1,2",1.0,0.0003992596557509387,0.125,2.0794415416798357,,0.001,74.2942967414856,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,2000,2,"1,2",0.75,0.4521091375499964,0.125,2.0794415416798357,,0.001,74.29430913925171,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,2000,4,"1,2",0.333984375,2.322390578687191,0.125,2.0794415416798357,,0.001,74.29431176185608,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,eval,2000,8,"1,2",0.2071533203125,3.342733457684517,0.125,2.0794415416798357,,0.001,74.29431343078613,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2100,1,"1,2",1.0,0.0003360992413945496,0.125,2.0794415416798357,0.00325943819836667,0.001,77.44179630279541,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2200,2,"1,2",0.84375,0.36459603905677795,0.125,2.0794415416798357,0.48511602731161174,0.001,80.58142852783203,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2300,2,"1,2",0.78515625,0.4328669607639313,0.125,2.0794415416798357,1.925094129240647,0.001,83.83078289031982,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2400,1,"1,2",1.0,0.0027740937657654285,0.125,2.0794415416798357,0.07089656902276263,0.001,86.95546674728394,ok
B0C.1,stage_b0c_b01_curriculum_v8_seed1,curriculum N_VALUES=8,train,2500,1,"1,2",1.0,0.0007682903087697923,0.125,2.0794415416798357,0.009476651076336419,0.001,90.16937184333801,ok
