substage,run_id,recipe,split,eval_mode,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1,2,capped,8,"1,2",0.0,0.0,6.483771800994873,0.125,2.0794415416798357,5.954289724093395,2e-06,0.04167985916137695,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,100,1,capped,8,"1,2",1.0,1.0,0.01926886849105358,0.125,2.0794415416798357,0.11639787186567963,0.0002,2.6700854301452637,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,200,1,capped,8,"1,2",1.0,1.0,0.0029904497787356377,0.125,2.0794415416798357,0.022313274336752023,0.0004,5.346726179122925,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,300,2,capped,8,"1,2",0.796875,0.59375,0.355103999376297,0.125,2.0794415416798357,0.7770175377683249,0.0006,8.04443097114563,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,400,2,capped,8,"1,2",0.7942708730697632,0.5885416666666666,0.3483234941959381,0.125,2.0794415416798357,0.4679817467938705,0.0008,10.80117130279541,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,500,1,capped,8,"1,2",1.0,1.0,0.0007260809070430696,0.125,2.0794415416798357,0.009360908235497836,0.001,13.522355556488037,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,600,1,capped,8,"1,2",1.0,1.0,0.00039257833850570023,0.125,2.0794415416798357,0.003099613924127398,0.001,16.234885931015015,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,700,2,capped,8,"1,2",0.7473958730697632,0.4947916666666667,0.3751648962497711,0.125,2.0794415416798357,0.8111788575841158,0.001,18.969293117523193,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,800,2,capped,8,"1,2",0.796875,0.59375,0.3431074619293213,0.125,2.0794415416798357,0.5617782771496789,0.001,21.603116273880005,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,900,2,capped,8,"1,2",0.7994791865348816,0.5989583333333334,0.31235674023628235,0.125,2.0794415416798357,0.4476431868880445,0.001,24.250203371047974,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1000,2,capped,8,"1,2",0.765625,0.53125,0.33841368556022644,0.125,2.0794415416798357,0.5099660802726698,0.001,26.905226469039917,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,1,capped,8,"1,2",1.0,1.0,0.0002342171965210582,0.125,2.0794415416798357,,0.001,38.90826606750488,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,2,capped,8,"1,2",0.7784424051642418,0.556884765625,0.33430617884732783,0.125,2.0794415416798357,,0.001,38.90827226638794,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,4,capped,8,"1,2",0.3151855559553951,0.0018310546875,2.3681645430624485,0.125,2.0794415416798357,,0.001,38.90827536582947,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,8,capped,8,"1,2",0.19862366211600602,0.0,2.322738464921713,0.125,2.0794415416798357,,0.001,38.90827822685242,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,1000,1,single,1,"1,2",1.0,1.0,0.00023502165231548133,0.125,2.0794415416798357,,0.001,38.908282995224,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,1000,2,single,1,"1,2",0.5616455234121531,0.5616455078125,0.667616197373718,0.125,2.0794415416798357,,0.001,38.908286571502686,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,1000,4,single,1,"1,2",0.2947998143499717,0.2947998046875,2.3056279374286532,0.125,2.0794415416798357,,0.001,38.908289194107056,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,1000,8,single,1,"1,2",0.19128418440232053,0.1912841796875,2.356281431391835,0.125,2.0794415416798357,,0.001,38.90829420089722,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1100,1,capped,8,"1,2",1.0,1.0,0.0002027680166065693,0.125,2.0794415416798357,0.001460509144704862,0.001,41.27177166938782,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1200,1,capped,8,"1,2",1.0,1.0,0.00013841604231856763,0.125,2.0794415416798357,0.0009447154859024386,0.001,43.72700071334839,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1300,1,capped,8,"1,2",1.0,1.0,0.00019849090313073248,0.125,2.0794415416798357,0.0014798157429709179,0.001,46.34760594367981,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1400,1,capped,8,"1,2",1.0,1.0,0.00015666971739847213,0.125,2.0794415416798357,0.001310220916325206,0.001,49.03549599647522,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1500,2,capped,8,"1,2",0.75,0.5,0.33982983231544495,0.125,2.0794415416798357,0.6614106412884445,0.001,51.61608839035034,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1600,1,capped,8,"1,2",1.0,1.0,0.00034673596383072436,0.125,2.0794415416798357,0.0063349817735431435,0.001,54.21835112571716,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1700,2,capped,8,"1,2",0.8020833730697632,0.6041666666666666,0.31138548254966736,0.125,2.0794415416798357,0.3215062644607259,0.001,56.93343687057495,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1800,2,capped,8,"1,2",0.8203125,0.640625,0.30159762501716614,0.125,2.0794415416798357,0.3592208964285979,0.001,59.51390981674194,ok
