substage,run_id,recipe,split,eval_mode,task_format,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30100,8,capped,8,"1,2,4,8",0.62109375,0.010416666666666666,0.8913297057151794,0.125,2.0794415416798357,0.5112003801763375,0.001,2.663485527038574,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30200,4,capped,8,"1,2,4,8",1.0,1.0,0.00175545085221529,0.125,2.0794415416798357,0.2918694364791015,0.001,5.6615471839904785,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30300,1,capped,8,"1,2,4,8",1.0,1.0,3.8128148389660055e-06,0.125,2.0794415416798357,3.052828520677451e-05,0.001,8.65062689781189,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30400,1,capped,8,"1,2,4,8",1.0,1.0,3.1012821182230255e-06,0.125,2.0794415416798357,2.369238894790025e-05,0.001,11.60333776473999,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30500,4,capped,8,"1,2,4,8",0.9986979365348816,0.9947916666666666,0.003368453122675419,0.125,2.0794415416798357,0.5682641296695509,0.001,14.53332805633545,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30600,8,capped,8,"1,2,4,8",0.60546875,0.0,0.8663744926452637,0.125,2.0794415416798357,0.2533618067855226,0.001,17.483507871627808,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30700,2,capped,8,"1,2,4,8",1.0,1.0,4.72733245260315e-06,0.125,2.0794415416798357,3.51621756689844e-05,0.001,20.53407120704651,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30800,4,capped,8,"1,2,4,8",0.9986979365348816,0.9947916666666666,0.015063664875924587,0.125,2.0794415416798357,0.6711073649380715,0.001,23.52273154258728,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,30900,2,capped,8,"1,2,4,8",1.0,1.0,7.935979738249443e-06,0.125,2.0794415416798357,8.525397995680166e-05,0.001,26.527296543121338,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31000,2,capped,8,"1,2,4,8",1.0,1.0,7.353993623837596e-06,0.125,2.0794415416798357,0.00032443991613918214,0.001,29.4980628490448,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31100,2,capped,8,"1,2,4,8",1.0,1.0,7.270646165125072e-06,0.125,2.0794415416798357,8.903782927400494e-05,0.001,32.595335960388184,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31200,1,capped,8,"1,2,4,8",1.0,1.0,4.720499873656081e-06,0.125,2.0794415416798357,5.1021847507985e-05,0.001,35.659515142440796,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31300,8,capped,8,"1,2,4,8",0.6178385615348816,0.0,0.8438713550567627,0.125,2.0794415416798357,0.28602751075088956,0.001,38.69281005859375,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31400,4,capped,8,"1,2,4,8",0.9986979365348816,0.9947916666666666,0.009496086277067661,0.125,2.0794415416798357,0.1912647144286972,0.001,41.66208362579346,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31500,1,capped,8,"1,2,4,8",1.0,1.0,5.97584266870399e-06,0.125,2.0794415416798357,6.194897419378093e-05,0.001,44.64423871040344,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31600,2,capped,8,"1,2,4,8",1.0,1.0,2.929200309154112e-05,0.125,2.0794415416798357,0.00027703783489335557,0.001,47.6846809387207,ok
B0F.1,stage_b0f_b01_extend4l256_seed2,resume B0E 4L/256 N_VALUES=8 failed seed to 100k,train,train_induction_capped,key_next_value,31700,1,capped,8,"1,2,4,8",1.0,1.0,2.1747990103904158e-05,0.125,2.0794415416798357,0.0002586447667345419,0.001,50.64959144592285,ok
