substage,run_id,recipe,split,eval_mode,task_format,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1,2,capped,8,"1,2",0.0,0.0,6.473140239715576,0.125,2.0794415416798357,4.752081187271428,2e-06,0.0405583381652832,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,100,1,capped,8,"1,2",1.0,1.0,0.021135440096259117,0.125,2.0794415416798357,0.11857195385966367,0.0002,3.313917398452759,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,200,2,capped,8,"1,2",0.5703125,0.28125,0.6675779819488525,0.125,2.0794415416798357,0.9949516033970093,0.0004,6.647351026535034,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,300,2,capped,8,"1,2",0.7265625,0.46875,0.46379736065864563,0.125,2.0794415416798357,1.0585652202155331,0.0006,10.02786111831665,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,400,2,capped,8,"1,2",0.796875,0.59375,0.3556677997112274,0.125,2.0794415416798357,0.7300254399334547,0.0008,13.320173025131226,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,500,1,capped,8,"1,2",1.0,1.0,0.0015640149358659983,0.125,2.0794415416798357,0.014689084673626923,0.001,16.699530601501465,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,600,1,capped,8,"1,2",1.0,1.0,0.00034750570193864405,0.125,2.0794415416798357,0.0028212892359797265,0.001,20.066120862960815,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,700,1,capped,8,"1,2",1.0,1.0,0.000730384374037385,0.125,2.0794415416798357,0.006785713228103847,0.001,23.459099531173706,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,800,2,capped,8,"1,2",0.79296875,0.5859375,0.33375439047813416,0.125,2.0794415416798357,0.5378974575899266,0.001,26.856359004974365,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,900,1,capped,8,"1,2",1.0,1.0,0.00022977135085966438,0.125,2.0794415416798357,0.002388277998786275,0.001,30.276002645492554,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1000,2,capped,8,"1,2",0.9296875,0.859375,0.1588621288537979,0.125,2.0794415416798357,0.5581180248598862,0.001,33.662803173065186,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1100,1,capped,8,"1,2",1.0,1.0,0.00011464484850876033,0.125,2.0794415416798357,0.000886407488668478,0.001,37.03538632392883,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1200,1,capped,8,"1,2",1.0,1.0,0.00022467250528279692,0.125,2.0794415416798357,0.0020677298290634853,0.001,40.390825510025024,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1300,2,capped,8,"1,2",0.99609375,0.9921875,0.007511389907449484,0.125,2.0794415416798357,0.6050187801459627,0.001,43.75664520263672,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1400,1,capped,8,"1,2",1.0,1.0,6.846841279184446e-05,0.125,2.0794415416798357,0.0007894594065415311,0.001,47.12225127220154,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1500,1,capped,8,"1,2",1.0,1.0,5.9447767853271216e-05,0.125,2.0794415416798357,0.0005830813916590554,0.001,50.438721895217896,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1600,1,capped,8,"1,2",1.0,1.0,0.0001724174799164757,0.125,2.0794415416798357,0.002417702718195675,0.001,53.75665903091431,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1700,1,capped,8,"1,2",1.0,1.0,5.427411088021472e-05,0.125,2.0794415416798357,0.0004890411648790275,0.001,57.0663275718689,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1800,2,capped,8,"1,2",0.99609375,0.9921875,0.009940281510353088,0.125,2.0794415416798357,0.6979687352270436,0.001,60.37399959564209,ok
B0F.2,stage_b0f_b02_candidateA_6l256_seed2,random-init larger Transformer candidate 6L/256 N_VALUES=8,train,train_induction_capped,key_next_value,1900,2,capped,8,"1,2",0.99609375,0.9921875,0.016909999772906303,0.125,2.0794415416798357,0.566439985894232,0.001,63.73092198371887,ok
